#linear,groundtruth,poly
1*(x|~y)-7*(x|y)+11*~(x&y)-12*~(x|y)-5*(x&~y)+1*(x&y),-5*y+9*~(x|~y),40*y*(x&y)+50*y*(x&~y)-10*y*(x^y)+30*y*~(x|y)+50*y*~(x|~y)+252*~(x|~y)*(x&y)+54*~(x|~y)*(x&~y)-198*~(x|~y)*y+36*~(x|~y)*~(x|y)+252*~(x|~y)*~(x|~y)-10*y*(x|y)-25*y*~(x&~x)-18*~(x|~y)*(x|y)-45*~(x|~y)*~(x&~x)
-1*~(x&~x)+5*~(x&y)-3*~(x|y)+8*~(x|~y)+7*(x&~y)+12*(x&y),11*(x|y)+1*~x,22*(x|y)*(x&y)+55*(x|y)*(x&~y)+22*(x|y)*~(x^y)+11*(x|y)*~(x|y)+33*(x|y)*~(x|~y)+11*(x|y)*~x-6*~x*(x&y)-7*~x*(x&~y)-7*~x*~(x|y)-7*~x*~(x|~y)+1*~x*~x-66*(x|y)*~(x&~x)+11*(x|y)*~(x&~y)+6*~x*~(x&~x)-1*~x*~(x&~y)
-6*y-1*~(x^y)+11*~(x&y)+7*(x^y)-10*~(x|y)+7*(x&y),12*~(x|~y)+18*(x&~y),-96*~(x|~y)*(x&y)-156*~(x|~y)*(x&~y)+48*~(x|~y)*~(x&y)-60*~(x|~y)*~(x|y)-72*~(x|~y)*~(x|~y)-144*(x&~y)*(x&y)-234*(x&~y)*(x&~y)+72*(x&~y)*~(x&y)-90*(x&~y)*~(x|y)-108*(x&~y)*~(x|~y)+12*~(x|~y)*(x^y)+84*~(x|~y)*x+18*(x&~y)*(x^y)+126*(x&~y)*x
1*~y-3*~x+2*~(x|y)+2*~(x|~y)-1*(x&~y)-1*(x&y),-1*y,5*y*(x&~y)+4*y*~(x&~y)+6*y*~(x|y)+2*y*~(x|~y)-5*y*~x-3*y*(x|~y)-1*y*~y
7*x-11*~(x^y)+11*~(x|y)+1*~(x|~y)-7*(x&~y)+5*(x&y),1*y,-6*y*(x&~y)-2*y*x-9*y*~(x|y)-8*y*~(x|~y)+7*y*~(x&y)+1*y*~(x^y)
-1*x-6*~y+11*~x-5*~(x&y)-6*~(x|~y)+12*(x&~y),-1*(x&y),8*(x&y)*(x&~y)+15*(x&y)*~(x|y)+11*(x&y)*~(x|~y)-3*(x&y)*~x+12*(x&y)*(x&y)-7*(x&y)*(x^y)-11*(x&y)*~(x^y)
-7*~y+4*~(x&y)+2*~(x&~y)+1*~(x|y)-6*~(x|~y)+3*(x&~y),2*(x&y),6*(x&y)*(x&y)-18*(x&y)*(x&~y)+2*(x&y)*(x^y)+14*(x&y)*x+20*(x&y)*~(x|y)-22*(x&y)*~(x&~y)+18*(x&y)*~(x|~y)
2*(x^y)+5*~(x&~x)+1*~y-1*y-6*~(x|y)-8*(x&~y),4*(x&y)+6*~(x|~y),20*(x&y)*(x&y)-8*(x&y)*(x&~y)+4*(x&y)*(x^y)-24*(x&y)*y+20*(x&y)*~(x|~y)-6*~(x|~y)*(x&y)+84*~(x|~y)*(x&~y)-90*~(x|~y)*(x^y)-12*~(x|~y)*~(x|y)+78*~(x|~y)*~(x|~y)-4*(x&y)*~x+6*~(x|~y)*~x
11*~x+5*(x|y)-11*~(x|y)-13*~(x|~y)-5*(x&~y)-2*(x&y),3*y,-24*y*(x&y)-9*y*(x&~y)+6*y*~(x&y)-30*y*~(x|y)-30*y*~(x|~y)+21*y*~(x&~y)
2*~(x&~y)-1*~(x^y)+3*~(x&~x)-3*~(x|y)-4*~(x|~y)-2*(x&~y),4*(x&y)+1*~(x&y),-20*(x&y)*(x&y)+40*(x&y)*(x&~y)-24*(x&y)*x+40*(x&y)*~(x^y)-52*(x&y)*~(x|y)+24*(x&y)*~(x|~y)-5*~(x&y)*(x&y)+10*~(x&y)*(x&~y)-6*~(x&y)*x+10*~(x&y)*~(x^y)-13*~(x&y)*~(x|y)+6*~(x&y)*~(x|~y)-28*(x&y)*(x^y)+8*(x&y)*~y-7*~(x&y)*(x^y)+2*~(x&y)*~y
-2*(x|y)-5*~x-6*~(x|y)+7*~(x|~y)+2*(x&~y)-9*(x&y),-11*~(x^y),88*~(x^y)*(x&y)+22*~(x^y)*(x|y)+44*~(x^y)*~(x^y)-11*~(x^y)*~(x|y)+132*~(x^y)*(x&~y)-121*~(x^y)*x-22*~(x^y)*~(x&~x)+11*~(x^y)*~(x|~y)
-6*(x|y)+5*(x^y)+13*~(x|y)+14*~(x|~y)+14*(x&~y)+12*(x&y),7*~(x&y)+6*~(x&~x),-133*~(x&y)*(x&y)-91*~(x&y)*(x&~y)+56*~(x&y)*x+28*~(x&y)*~(x&~x)-70*~(x&y)*~(x|y)-70*~(x&y)*~(x|~y)+30*~(x&~x)*(x&y)-6*~(x&~x)*(x&~y)+24*~(x&~x)*~(x|y)+24*~(x&~x)*~(x|~y)+42*~(x&y)*~(x&~y)-7*~(x&y)*~x-36*~(x&~x)*~(x&~y)+6*~(x&~x)*~x
1*~(x^y)+1*~(x&~x)-6*~(x&y)+4*~(x|y)+5*~(x|~y)-2*(x&y),-5*(x&~y),10*(x&~y)*(x&y)+35*(x&~y)*(x&~y)+25*(x&~y)*~(x^y)-5*(x&~y)*~(x|~y)+10*(x&~y)*~x-30*(x&~y)*(x|~y)
3*~(x^y)-6*(x|y)-4*~(x|y)+7*~(x|~y)+6*(x&~y)+2*(x&y),1*(x^y)-1*(x|~y),-8*(x^y)*(x&y)-10*(x^y)*(x&~y)+8*(x^y)*(x|~y)-1*(x^y)*~(x&~y)-2*(x^y)*~(x|y)+8*(x|~y)*(x&y)+10*(x|~y)*(x&~y)-8*(x|~y)*(x|~y)+1*(x|~y)*~(x&~y)+2*(x|~y)*~(x|y)+1*(x^y)*~(x&y)+6*(x^y)*~(x|~y)-7*(x^y)*~x-1*(x|~y)*~(x&y)-6*(x|~y)*~(x|~y)+7*(x|~y)*~x
1*y+1*~x-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),-2*~(x^y)-1*(x^y),68*~(x^y)*(x&y)+46*~(x^y)*(x&~y)-44*~(x^y)*~(x^y)+90*~(x^y)*~(x|y)+10*~(x^y)*~(x|~y)-22*~(x^y)*~y-10*(x^y)*(x&y)+1*(x^y)*(x&~y)+1*(x^y)*~(x|y)-3*(x^y)*~(x|~y)-11*(x^y)*~y-14*~(x^y)*(x|~y)-8*~(x^y)*~(x&~x)+7*(x^y)*(x|~y)+4*(x^y)*~(x&~x)
-2*(x|~y)-3*y+11*~(x^y)+8*~(x|~y)+7*(x&~y)-1*(x&y),5*~(x&~x)+4*~(x|y),-20*~(x&~x)*(x&y)+20*~(x&~x)*(x&~y)+25*~(x&~x)*~(x|y)-5*~(x&~x)*~x-25*~(x&~x)*~y-16*~(x|y)*(x&y)+16*~(x|y)*(x&~y)+20*~(x|y)*~(x|y)-4*~(x|y)*~x-20*~(x|y)*~y+15*~(x&~x)*y-15*~(x&~x)*~(x|~y)+12*~(x|y)*y-12*~(x|y)*~(x|~y)
5*(x^y)+5*~(x&~x)+11*y-5*~(x|y)-21*~(x|~y)-10*(x&~y),16*(x&y),128*(x&y)*(x&y)+32*(x&y)*(x&~y)-32*(x&y)*(x|y)-16*(x&y)*~(x&~x)+128*(x&y)*~(x|~y)-96*(x&y)*~(x&~y)+96*(x&y)*~(x|y)
-2*~y-1*~(x^y)+1*~(x&~x)+4*~(x|y)+3*(x&~y)+2*(x&y),2*(x|~y)+1*~(x|~y),-4*(x|~y)*(x&y)-14*(x|~y)*(x&~y)+12*(x|~y)*~(x&y)-4*(x|~y)*~(x|y)-2*(x|~y)*~(x|~y)-2*~(x|~y)*(x&y)-7*~(x|~y)*(x&~y)+6*~(x|~y)*~(x&y)-2*~(x|~y)*~(x|y)-1*~(x|~y)*~(x|~y)+2*(x|~y)*~(x^y)-12*(x|~y)*~x+1*~(x|~y)*~(x^y)-6*~(x|~y)*~x
-11*~x+4*(x|~y)+1*~(x&~x)+4*~(x|y)-5*(x&~y)-7*(x&y),-10*~(x|~y)-2*~(x^y),230*~(x|~y)*(x&y)+10*~(x|~y)*(x&~y)-220*~(x|~y)*x-200*~(x|~y)*~(x|y)-90*~(x|~y)*~(x|~y)-10*~(x|~y)*~x+46*~(x^y)*(x&y)+2*~(x^y)*(x&~y)-44*~(x^y)*x-40*~(x^y)*~(x|y)-18*~(x^y)*~(x|~y)-2*~(x^y)*~x+110*~(x|~y)*~(x&y)+110*~(x|~y)*~y+22*~(x^y)*~(x&y)+22*~(x^y)*~y
2*(x^y)+4*x+6*~(x|y)+4*~(x|~y)-6*(x&~y)-4*(x&y),6*~x,144*~x*(x&y)+66*~x*(x&~y)+60*~x*~(x&y)-84*~x*~(x&~y)+18*~x*~(x|y)+150*~x*~(x|~y)-66*~x*(x^y)-66*~x*(x|y)
4*~x+1*x-11*y-4*~(x|y)-8*(x&~y)+3*(x&y),-7*(x|y),-91*(x|y)*(x&y)-28*(x|y)*(x&~y)+14*(x|y)*y+49*(x|y)*~(x&~y)-42*(x|y)*~(x|y)-56*(x|y)*~(x|~y)+35*(x|y)*x
-1*~y+2*~(x&~x)-2*~(x|y)-4*~(x|~y)-2*(x&~y)-3*(x&y),-1*(x|y)-1*~x,-2*(x|y)*(x&y)+1*(x|y)*(x&~y)+2*(x|y)*y-2*(x|y)*~(x&~x)+2*(x|y)*~(x|y)+1*(x|y)*~(x|~y)-2*~x*(x&y)+1*~x*(x&~y)+2*~x*y-2*~x*~(x&~x)+2*~x*~(x|y)+1*~x*~(x|~y)+2*(x|y)*x+1*(x|y)*~(x^y)+2*~x*x+1*~x*~(x^y)
2*~x-7*~y+1*~(x^y)+4*~(x|y)-3*~(x|~y)-1*(x&y),-1*(x^y)-6*(x&~y),8*(x^y)*(x&y)+7*(x^y)*(x&~y)-4*(x^y)*~(x&~x)+6*(x^y)*~(x|y)+8*(x^y)*~(x|~y)-1*(x^y)*~y+48*(x&~y)*(x&y)+42*(x&~y)*(x&~y)-24*(x&~y)*~(x&~x)+36*(x&~y)*~(x|y)+48*(x&~y)*~(x|~y)-6*(x&~y)*~y-1*(x^y)*(x|y)-2*(x^y)*y-6*(x&~y)*(x|y)-12*(x&~y)*y
-2*~x+1*~(x&y)+3*(x^y)+1*~(x|y)-5*(x&~y)-1*(x&y),-1*(x|y)+3*~(x|~y),-2*(x|y)*(x&y)+2*(x|y)*(x&~y)-6*(x|y)*~(x&~y)+10*(x|y)*~(x^y)-1*(x|y)*~(x|y)+9*(x|y)*~(x|~y)+6*~(x|~y)*(x&y)-6*~(x|~y)*(x&~y)+18*~(x|~y)*~(x&~y)-30*~(x|~y)*~(x^y)+3*~(x|~y)*~(x|y)-27*~(x|~y)*~(x|~y)-1*(x|y)*~(x&~x)-1*(x|y)*~x+3*~(x|~y)*~(x&~x)+3*~(x|~y)*~x
-3*(x^y)-1*~(x&y)+4*~(x^y)-1*~(x|~y)+4*(x&~y)-4*(x&y),-5*~x+8*~(x|y),-75*~x*(x&y)-95*~x*(x&~y)+20*~x*~(x&y)+60*~x*~(x&~x)-85*~x*~(x|y)-105*~x*~(x|~y)+120*~(x|y)*(x&y)+152*~(x|y)*(x&~y)-32*~(x|y)*~(x&y)-96*~(x|y)*~(x&~x)+136*~(x|y)*~(x|y)+168*~(x|y)*~(x|~y)+20*~x*(x|y)+10*~x*~x-32*~(x|y)*(x|y)-16*~(x|y)*~x
1*(x^y)-11*y-3*~(x|y)+7*~(x|~y)-4*(x&~y)+8*(x&y),-3*~(x&~x),-48*~(x&~x)*(x&y)+51*~(x&~x)*(x&~y)-42*~(x&~x)*~(x&y)+66*~(x&~x)*~(x^y)-21*~(x&~x)*~(x|y)+60*~(x&~x)*~(x|~y)-6*~(x&~x)*(x|y)-9*~(x&~x)*y
5*~x-1*~(x&~x)+7*~(x^y)+4*(x^y)-11*~(x|y)-8*~(x|~y),6*(x&y)+3*(x&~y),18*(x&y)*(x&~y)-12*(x&y)*~(x&~y)+24*(x&y)*~(x|y)+18*(x&y)*~(x|~y)+6*(x&y)*~x+9*(x&~y)*(x&~y)-6*(x&~y)*~(x&~y)+12*(x&~y)*~(x|y)+9*(x&~y)*~(x|~y)+3*(x&~y)*~x+24*(x&y)*(x&y)-18*(x&y)*~(x&~x)-6*(x&y)*~y+12*(x&~y)*(x&y)-9*(x&~y)*~(x&~x)-3*(x&~y)*~y
3*(x^y)+1*~(x&~x)-1*~(x|y)-11*~(x|~y)-4*(x&~y)-8*(x&y),-7*y,-35*y*(x&y)-112*y*(x&~y)+28*y*(x|~y)+84*y*~(x&y)-105*y*~(x|y)-70*y*~(x|~y)-7*y*(x^y)+14*y*x
-1*~(x&~y)-1*~(x&y)+1*(x|~y)-11*y+13*~(x|~y)+11*(x&y),-1*~(x|y),5*~(x|y)*(x&y)+12*~(x|y)*(x&~y)-11*~(x|y)*(x|y)-4*~(x|y)*~(x&~y)-6*~(x|y)*~(x|y)+16*~(x|y)*~(x|~y)+11*~(x|y)*~(x^y)
5*~(x&~y)-5*(x^y)+1*~(x&y)-12*~(x|y)+5*(x&~y)-11*(x&y),-7*~(x^y)+1*~(x&~x),-35*~(x^y)*(x&y)-49*~(x^y)*(x&~y)+42*~(x^y)*(x|y)-7*~(x^y)*~(x|y)-49*~(x^y)*~(x|~y)+5*~(x&~x)*(x&y)+7*~(x&~x)*(x&~y)-6*~(x&~x)*(x|y)+1*~(x&~x)*~(x|y)+7*~(x&~x)*~(x|~y)+14*~(x^y)*~(x&y)-2*~(x&~x)*~(x&y)
2*~x-3*~(x&~x)+1*(x|~y)+7*~(x|~y)+8*(x&~y)+8*(x&y),6*(x|y),-48*(x|y)*(x&y)+84*(x|y)*(x&~y)+24*(x|y)*~(x&~y)+78*(x|y)*~(x|y)-30*(x|y)*~(x|~y)-108*(x|y)*~y+18*(x|y)*x
2*x-1*~(x&~x)-1*(x|y)-2*~(x&~y)-8*~(x|y)+4*~(x|~y),9*(x&y)-11*~(x^y),-108*(x&y)*(x&y)-90*(x&y)*(x&~y)+99*(x&y)*x-9*(x&y)*~(x|y)+9*(x&y)*~(x|~y)-154*~(x^y)*(x&y)-198*~(x^y)*(x&~y)+231*~(x^y)*x-66*~(x^y)*~(x&~y)+77*~(x^y)*~(x|y)+99*~(x^y)*~(x|~y)-18*(x&y)*(x^y)-22*~(x^y)*(x^y)
1*~x-2*(x|~y)-3*~y+4*~(x|y)-2*~(x|~y)+2*(x&y),-1*(x^y)-4*(x&~y),-10*(x^y)*(x&y)-2*(x^y)*(x&~y)+10*(x^y)*y-2*(x^y)*~(x|y)-12*(x^y)*~(x|~y)-40*(x&~y)*(x&y)-8*(x&~y)*(x&~y)+40*(x&~y)*y-8*(x&~y)*~(x|y)-48*(x&~y)*~(x|~y)+2*(x^y)*~(x&y)+1*(x^y)*~(x&~x)+8*(x&~y)*~(x&y)+4*(x&~y)*~(x&~x)
5*~x-1*~(x&~x)-11*(x|~y)+7*~(x|y)-4*~(x|~y)+12*(x&y),-12*(x&~y),264*(x&~y)*(x&y)+144*(x&~y)*(x&~y)-72*(x&~y)*x+72*(x&~y)*~(x|y)+144*(x&~y)*~(x|~y)-12*(x&~y)*~y-48*(x&~y)*(x|~y)-132*(x&~y)*y
5*~(x&y)+1*y+3*~x-12*~(x|y)-9*~(x|~y)-9*(x&~y),-4*(x|~y)+5*(x&y),48*(x|~y)*(x&y)+28*(x|~y)*(x&~y)-24*(x|~y)*(x^y)+24*(x|~y)*~(x|y)+48*(x|~y)*~(x|~y)+30*(x&y)*(x&y)-25*(x&y)*(x&~y)+20*(x&y)*(x|~y)+20*(x&y)*~(x|~y)-44*(x|~y)*~(x&~y)+24*(x|~y)*~x-55*(x&y)*~(x&~y)+30*(x&y)*~x
11*(x|y)-2*~x+1*~y+1*~(x|y)-12*(x&~y)-11*(x&y),9*~(x|~y),234*~(x|~y)*(x&y)+36*~(x|~y)*(x&~y)-198*~(x|~y)*~(x^y)+207*~(x|~y)*~(x|y)+36*~(x|~y)*~(x|~y)-27*~(x|~y)*(x|y)-18*~(x|~y)*~(x&~x)
1*y-6*(x^y)-2*~(x&~x)+2*~(x|y)+7*~(x|~y)-3*(x&y),-4*(x&~y)-4*x,-60*(x&~y)*(x&y)-84*(x&~y)*(x&~y)+88*(x&~y)*x-24*(x&~y)*~(x&~x)+8*(x&~y)*~(x|y)+24*(x&~y)*~(x|~y)-60*x*(x&y)-84*x*(x&~y)+88*x*x-24*x*~(x&~x)+8*x*~(x|y)+24*x*~(x|~y)+4*(x&~y)*(x^y)+20*(x&~y)*~y+4*x*(x^y)+20*x*~y
-1*~(x^y)+3*(x^y)-1*~x+4*~(x&~x)-2*~(x|y)-7*~(x|~y)-7*(x&~y),-1*y+4*(x&y),-4*y*(x&y)-1*y*(x&~y)-6*y*~(x|y)-4*y*~(x|~y)+16*(x&y)*(x&y)+4*(x&y)*(x&~y)+24*(x&y)*~(x|y)+16*(x&y)*~(x|~y)+5*y*~(x&~y)+2*y*~y-20*(x&y)*~(x&~y)-8*(x&y)*~y
-5*~(x&~x)+5*~(x&~y)+1*(x^y)-3*y+1*~(x&y)-1*~(x|y)+1*~(x|~y),-3*(x&~y)-3*(x&y),36*(x&~y)*(x&y)+36*(x&~y)*~(x|~y)+3*(x&~y)*~y+36*(x&y)*(x&y)+36*(x&y)*~(x|~y)+3*(x&y)*~y-33*(x&~y)*y-33*(x&y)*y
7*~(x&~x)-6*(x^y)+4*x-1*(x|~y)+7*~(x&y)-8*~(x|~y)-10*(x&y),11*(x&~y)+13*~(x|y),66*(x&~y)*(x&~y)-11*(x&~y)*y+187*(x&~y)*~(x|y)+78*~(x|y)*(x&~y)-13*~(x|y)*y+221*~(x|y)*~(x|y)+121*(x&~y)*~(x|~y)-121*(x&~y)*~x-77*(x&~y)*~y+143*~(x|y)*~(x|~y)-143*~(x|y)*~x-91*~(x|y)*~y
-1*y-1*~(x&~y)+1*(x|y)+4*~(x|y)+4*~(x|~y)+2*(x&~y)+4*(x&y),3*x+3*~x,3*x*(x&y)-6*x*~(x&~x)-24*x*~(x|y)-24*x*~(x|~y)+9*~x*(x&y)-12*~x*~(x&~y)+36*~x*~(x|y)+36*~x*~(x|~y)-9*x*(x&~y)+12*x*~(x&y)+15*x*~x+9*~x*(x&~y)-12*~x*~(x&y)-15*~x*~x
-6*(x|y)-3*~(x&y)+7*~(x&~y)+2*x-11*~(x|y)+2*~(x|~y)-10*(x&y),-7*(x|~y),-70*(x|~y)*(x&y)-42*(x|~y)*(x&~y)+42*(x|~y)*(x^y)+28*(x|~y)*x-21*(x|~y)*~(x|y)-35*(x|~y)*~(x|~y)+49*(x|~y)*~(x^y)-21*(x|~y)*~y
-1*~(x^y)-1*(x|y)-11*y+5*~(x&~x)-4*~(x|y)+7*~(x|~y)-4*(x&~y),-8*(x&y),-32*(x&y)*(x&y)-120*(x&y)*(x&~y)+40*(x&y)*(x^y)+48*(x&y)*~(x&y)-40*(x&y)*~(x|y)-120*(x&y)*~(x|~y)+40*(x&y)*(x|y)
1*~(x^y)+5*x+11*(x|~y)-10*~(x|y)-3*~(x|~y)-14*(x&~y)-20*(x&y),2*~(x&~x)-5*y,-24*~(x&~x)*(x&y)-22*~(x&~x)*(x&~y)-8*~(x&~x)*~(x&~x)+8*~(x&~x)*~(x^y)-8*~(x&~x)*~(x|y)-50*y*(x&y)-65*y*(x&~y)-10*y*~(x|y)-10*y*~(x|~y)+22*~(x&~x)*x+6*~(x&~x)*~(x&y)+55*y*x+15*y*~(x&y)
5*y-11*~(x&y)-7*~(x^y)-7*~(x&~y)+25*~(x|y)+17*(x&~y)+9*(x&y),-19*~(x|~y)+6*(x^y),-361*~(x|~y)*(x&y)-57*~(x|~y)*(x&~y)-38*~(x|~y)*~(x&y)+266*~(x|~y)*~(x^y)-209*~(x|~y)*~(x|y)+57*~(x|~y)*~(x|~y)+114*(x^y)*(x&y)+18*(x^y)*(x&~y)+12*(x^y)*~(x&y)-84*(x^y)*~(x^y)+66*(x^y)*~(x|y)-18*(x^y)*~(x|~y)+114*~(x|~y)*x-36*(x^y)*x
-6*x-1*~(x&~y)+1*y+1*~(x|y)+2*~(x|~y)+8*(x&~y)+6*(x&y),2*(x^y),4*(x^y)*(x&y)-42*(x^y)*(x&~y)+44*(x^y)*(x^y)+2*(x^y)*~(x|y)-46*(x^y)*~(x|~y)-6*(x^y)*(x|~y)+2*(x^y)*~y
-3*~(x&~x)-5*(x^y)-7*(x|y)+4*~x-1*(x|~y)+15*(x&~y)-1*(x&y),-1*x-11*y,-1*x*(x&y)-1*x*(x&~y)+2*x*(x|y)+5*x*x+6*x*~(x|y)-11*y*(x&y)-11*y*(x&~y)+22*y*(x|y)+55*y*x+66*y*~(x|y)-7*x*(x|~y)+2*x*~(x&~x)-3*x*~(x|~y)-77*y*(x|~y)+22*y*~(x&~x)-33*y*~(x|~y)
1*~x+1*~(x^y)-1*~y-7*~(x&y)+5*~(x&~x)+1*~(x|~y)-6*(x&y),-1*~(x|y)-3*(x&~y),-7*~(x|y)*(x&y)-9*~(x|y)*(x&~y)+4*~(x|y)*~(x&y)+10*~(x|y)*~(x&~x)-11*~(x|y)*~(x|y)-7*~(x|y)*~(x|~y)-21*(x&~y)*(x&y)-27*(x&~y)*(x&~y)+12*(x&~y)*~(x&y)+30*(x&~y)*~(x&~x)-33*(x&~y)*~(x|y)-21*(x&~y)*~(x|~y)-4*~(x|y)*(x^y)-2*~(x|y)*~(x&~y)-12*(x&~y)*(x^y)-6*(x&~y)*~(x&~y)
3*~(x&~y)-5*~(x&~x)-1*~y+2*~(x|y)+13*~(x|~y)+17*(x&~y)+1*(x&y),-1*~(x^y)+11*(x^y),-5*~(x^y)*(x&y)+2*~(x^y)*(x&~y)-5*~(x^y)*~(x|y)-6*~(x^y)*~(x|~y)-99*(x^y)*(x&y)+132*(x^y)*(x&~y)-154*(x^y)*(x^y)+22*(x^y)*(x|y)-77*(x^y)*~(x|y)+44*(x^y)*~(x|~y)-1*~(x^y)*(x|~y)+7*~(x^y)*~(x&~y)-11*(x^y)*(x|~y)+77*(x^y)*~(x&~y)
4*y+5*~(x&y)+3*(x|~y)+1*(x^y)-10*~(x|~y)-9*(x&~y)-7*(x&y),8*~(x|y),40*~(x|y)*(x&y)+40*~(x|y)*(x&~y)+16*~(x|y)*y+56*~(x|y)*~(x|y)+24*~(x|y)*~(x|~y)-48*~(x|y)*~(x&~x)-16*~(x|y)*~(x^y)
-7*~(x&~y)+7*(x|y)-3*(x|~y)+7*x+11*~(x|y)-10*(x&~y)-4*(x&y),1*~y,4*~y*(x&y)+1*~y*(x&~y)-4*~y*x-3*~y*~(x|y)-1*~y*y+2*~y*~y
-2*(x^y)+1*~(x&y)-2*x+11*y-2*~(x&~x)-8*~(x|~y)-7*(x&y),-5*(x&~y)-1*~(x|y),5*(x&~y)*(x&y)+25*(x&~y)*(x&~y)+20*(x&~y)*~(x&~y)-45*(x&~y)*~(x|y)-80*(x&~y)*~(x|~y)+30*(x&~y)*~x+1*~(x|y)*(x&y)+5*~(x|y)*(x&~y)+4*~(x|y)*~(x&~y)-9*~(x|y)*~(x|y)-16*~(x|y)*~(x|~y)+6*~(x|y)*~x+35*(x&~y)*(x|y)-55*(x&~y)*x+7*~(x|y)*(x|y)-11*~(x|y)*x
-2*y+2*~(x&~y)-2*(x|~y)+7*~(x^y)-11*~(x&~x)+4*~(x|y)+6*(x&y),-11*~(x|~y)-13*(x&~y),11*~(x|~y)*(x&y)+99*~(x|~y)*(x&~y)+44*~(x|~y)*~(x|y)+66*~(x|~y)*~(x|~y)+377*(x&~y)*(x&y)+195*(x&~y)*(x&~y)-78*(x&~y)*y-286*(x&~y)*~(x&~x)+260*(x&~y)*~(x|y)+312*(x&~y)*~(x|~y)-55*~(x|~y)*(x^y)-33*~(x|~y)*~y+65*(x&~y)*(x^y)+39*(x&~y)*~y
-1*~y+7*(x^y)+11*~(x&~x)-12*~(x|y)-19*~(x|~y)-19*(x&~y)-12*(x&y),-1*~(x&y)-1*(x|~y),14*~(x&y)*(x&~y)+2*~(x&y)*~(x|y)-2*~(x&y)*~y-8*(x|~y)*(x&~y)+2*(x|~y)*~(x&~y)+2*(x|~y)*~(x|y)-2*(x|~y)*~y+11*~(x&y)*(x&y)-11*~(x&y)*(x|y)+1*~(x&y)*~(x^y)+12*~(x&y)*~(x|~y)-11*(x|~y)*(x&y)+11*(x|~y)*(x|y)-1*(x|~y)*~(x^y)-12*(x|~y)*~(x|~y)
4*(x^y)-7*~(x&~y)-1*x+18*~(x|y)+14*~(x|~y)+8*(x&~y)+19*(x&y),11*~(x&~x),-88*~(x&~x)*(x&y)+154*~(x&~x)*(x&~y)-242*~(x&~x)*~(x&y)+176*~(x&~x)*~(x|y)+231*~(x&~x)*~(x|~y)+55*~(x&~x)*(x|~y)+22*~(x&~x)*x
-1*~(x&~x)-1*(x|y)+5*(x|~y)-5*(x^y)-5*x-4*~(x|y)+7*(x&~y),-7*~(x|~y)-2*(x&y),-63*~(x|~y)*(x&y)-63*~(x|~y)*(x&~y)+70*~(x|~y)*(x|~y)+7*~(x|~y)*~(x&~y)+7*~(x|~y)*~(x|y)-18*(x&y)*(x&y)-18*(x&y)*(x&~y)+20*(x&y)*(x|~y)+2*(x&y)*~(x&~y)+2*(x&y)*~(x|y)-7*~(x|~y)*y+84*~(x|~y)*~(x|~y)-77*~(x|~y)*~x-2*(x&y)*y+24*(x&y)*~(x|~y)-22*(x&y)*~x
1*x+2*(x|~y)+5*~(x&y)-6*y-7*~(x|y)-9*(x&~y)+2*(x&y),-1*(x|y),5*(x|y)*(x&y)+8*(x|y)*(x&~y)-2*(x|y)*~(x|y)+5*(x|y)*~(x|~y)+7*(x|y)*~x-7*(x|y)*(x^y)-4*(x|y)*~(x&~y)
-2*x+5*~(x&~x)+3*~(x&~y)-3*~x+3*(x|~y)-8*~(x|y)-9*(x&y),5*~(x|~y)+6*(x&~y),-5*~(x|~y)*(x&y)-35*~(x|~y)*(x&~y)-50*~(x|~y)*(x|~y)-5*~(x|~y)*y+20*~(x|~y)*~(x|y)-6*(x&~y)*(x&y)-42*(x&~y)*(x&~y)-60*(x&~y)*(x|~y)-6*(x&~y)*y+24*(x&~y)*~(x|y)+55*~(x|~y)*x+25*~(x|~y)*~y+66*(x&~y)*x+30*(x&~y)*~y
5*y+1*~x-7*x-2*~(x&~y)-4*~(x|~y)+7*(x&~y)+4*(x&y),-1*~(x|y),1*~(x|y)*(x&y)+26*~(x|y)*(x&~y)-25*~(x|y)*(x^y)-1*~(x|y)*~(x|y)+24*~(x|y)*~(x|~y)+2*~(x|y)*~x
11*(x|y)-11*~x+7*~(x&~y)+1*~(x^y)+3*~(x|y)-7*~(x|~y)-11*(x&~y),19*(x&y),171*(x&y)*(x&y)-152*(x&y)*(x&~y)+38*(x&y)*(x|~y)-228*(x&y)*y-152*(x&y)*~(x|y)+171*(x&y)*~(x|~y)+38*(x&y)*~(x&y)+57*(x&y)*~y
2*~(x&y)-7*(x^y)+1*y-1*~(x&~y)-2*~(x|y)+4*~(x|~y)+5*(x&~y),-1*~x,8*~x*(x&y)-21*~x*(x&~y)+29*~x*(x^y)-7*~x*~(x&~x)+8*~x*~(x|y)-21*~x*~(x|~y)
